Pokémon: Qual o nome da região dos primeiros jogos da série? | GAMES | Kanto | Johto | Alola | Kanto | Shinon
Zelda: Qual o nome do héroi do jogo? | GAMES | Link | Zelda |Ganondorf| Epona | Link
Qual desses jogos foi desenvolvido pela produta Ubisoft? | GAMES | Rayman | Rayman | Resident Evil | Mario | The Last of Us
Qual desses jogos não foi produzido pela Square Enix? | GAMES | Xenoblade Chronicles | Final Fantasy | Xenoblade Chronicles |Dragon Quest | Kingdom Hearts
Em qual ano foi lançado o primeiro jogo de Crash Bandicoot? | GAMES | 1996 | 1995 | 1996 | 1997 | 1998
Em que ano foi lançado o primeiro jogo de futebol FIFA? | GAMES | 1993 | 1992 | 1993 | 1994 | 1995
The Last of Us: Qual o nome da milícia ant-governamental liderada por Marlene? | GAMES | Vagalumes | Besouros | Abelhas | Vagalumes | Insetos
Qual foi o videogame mais vendido da história? | GAMES | Playstation 2 | Playstation 3 | Xbox 360 | Playstation 2 | Atari
Quem foi o criador do videogame? | GAMES | Ralph Baer | Steve Jobs | Ralph Baer | Nolan Bushnell | Fusajiro Yamauchi
Qual jogos foi o mais vendido da história? | GAMES | Tetris | Tetris | Minecraft | Grand Theft Auto V | Super Mario Bros.
Harry Potter: Quantos filmes foram lançados? | FILMES | 8 | 5 | 6 | 7 | 8
Qual foi o filme vencendor do Oscar 2008? | FILMES | Onde os fracos não tem vez | Juno | Onde os fracos não tem vez | Sangue Negro | Conduta de Risco
Qual desses filmes foi o maior campeão de bilheteria? | FILMES | Avatar | Titanic | Avatar | Jurassic World | Homem de Ferro 3
O Náufrago: qual ator interpretou o personagem principal? | FILMES | Tom Hanks | Tom Hanks | Johny Depp | Ben Affleck | Leonardo Dicaprio
Senhor dos Anéis: A triologia é vencedora de quantos Oscars? | FILMES | 17 | 11 | 6 | 17 | 16
Qual desses filmes é um filme de terror? | FILMES | Deixe Ela Entrar (2008) | Efeito Borboleta (2004) | Planeta dos Macacos (1968) | Deixe Ela Entrar (2008) | MIB - Homens de Preto (1997)
Matrix: O personagem Thomas A. Anderson tem qual profissão? | FILMES | Programador | Programador | Médico | Professor | Físico
Qual desses filmes brasileiros tem a maior bilheteria? | FILMES | Os dez mandamentos - O Filme (2006) | Tropa de Elite 2 (2010) | Dona Flor e seus dois maridos (1976) |  Os dez mandamentos - O Filme (2006) | Minha mãe é uma peça 2 (2016)
Qual dos filmes a seguir o ator Jim Carrey não fez? | FILMES | Click (2006) | O Máscara (1994) | Todo Poderoso (2003) | Batman Eternamente (1995) | Click (2006)
IT a Coisa é filme de : | FILMES | Terror | Comédia | Terror | Romance | Nenhuma das alternativas
Qual a capital de Botsuana? | GEOGRAFIA | Gaborone | Gaborone | Luanda | Argel | Cidade do Cabo
Quantos países tem na América do Sul? | GEOGRAFIA | 12 | 10 | 11 | 12 | 13
Qual desses países é o mais populoso? | GEOGRAFIA | China | Índia | Estados Unidos | Indonésia | China
Qual desses países tem o menor território? | GEOGRAFIA | Egito | Mauritânia | Egito | Colômbia| Etiópia
Qual oceano banha a costa da Bolívia? | GEOGRAFIA | Nenhum oceano | Pacífico |  Atlântico | Caribe | Nenhum oceano
Quantos tempo leva aproximadamente para a Terra dar uma volta em torno do sol? | GEOGRAFIA | 365 dias | 380 dias | 365 dias | 1 dia | 7 dias
Qual a montanha mais alta do mundo? | GEOGRAFIA | Monte Everest | K2 | Monte Everest | Kangchenjunga | Lhotse
Qual desses pratos é típico da região do Pará? | GEOGRAFIA | Maniçoba | Maniçoba | Chimarrão | Vatapá | Bauru
Quantos planetas existem hoje no Sistema Solar? | GEOGRAFIA | 8 | 10| 9 | 8 | 7
Como se chama a camada de ar que protege a Terra? | GEOGRAFIA | Atmosfera | Camada de Ozônio | Nitrogênio | Atmosfera | Oxigênio
Arquivo X: Qual a marca do cigarro fumado pelo Canceroso (C.G. B. Spender) na série? | SÉRIES | Morley | Hollywood | Marlboro | Lucky Strike | Morley
Lost: De quem é a frase "Vejo você em outra vida, brother." | SÉRIES | Desmond | Jack | Desmond | Ben | Mr Eko
De qual personagem é a frase: "Teria sido melhor ir ver o filme do Pelé"? | SÉRIES | Chaves | Chapolin | Pelé | Chiquinha | Chaves
Breaking Bed: Qual o nome do persongagem principal? | SÉRIES | Walter White | Jack Sparrow | Walter White | Jesse Pinkman | Gustavo Fring







